tool,threshold,cov,n,nTP,nFP,nFN,nTN
gridss,100,16,7,2214.0,13160.0,1585.0,321.0
gridss,100,16,8,2212.0,13193.0,1587.0,326.0
gridss,100,16,9,2203.0,13154.0,1596.0,325.0
gridss,100,2,1,697.0,3376.0,3102.0,89.0
gridss,100,2,10,691.0,3365.0,3108.0,84.0
gridss,100,2,2,718.0,3246.0,3081.0,76.0
gridss,100,2,3,667.0,3398.0,3132.0,78.0
gridss,100,2,4,726.0,3375.0,3073.0,95.0
gridss,100,2,5,692.0,3319.0,3107.0,71.0
gridss,100,2,6,708.0,3426.0,3091.0,87.0
gridss,100,2,7,675.0,3360.0,3124.0,70.0
gridss,100,2,8,689.0,3305.0,3110.0,70.0
gridss,100,2,9,671.0,3319.0,3128.0,65.0
gridss,100,32,1,2319.0,14921.0,1480.0,321.0
gridss,100,32,10,2313.0,14880.0,1486.0,334.0
gridss,100,32,2,2328.0,14905.0,1471.0,328.0
gridss,100,32,3,2328.0,14892.0,1471.0,335.0
gridss,100,32,4,2328.0,14869.0,1471.0,333.0
gridss,100,32,5,2319.0,14912.0,1480.0,336.0
gridss,100,32,6,2333.0,14843.0,1466.0,335.0
gridss,100,32,7,2320.0,14865.0,1479.0,334.0
gridss,100,32,8,2333.0,14894.0,1466.0,332.0
gridss,100,32,9,2337.0,14879.0,1462.0,343.0
gridss,100,4,1,1376.0,6918.0,2423.0,192.0
gridss,100,4,10,1371.0,6865.0,2428.0,195.0
gridss,100,4,2,1361.0,6820.0,2438.0,192.0
gridss,100,4,3,1384.0,6957.0,2415.0,190.0
gridss,100,4,4,1385.0,6844.0,2414.0,204.0
gridss,100,4,5,1415.0,6879.0,2384.0,210.0
gridss,100,4,6,1390.0,6912.0,2409.0,199.0
gridss,100,4,7,1383.0,6922.0,2416.0,200.0
gridss,100,4,8,1374.0,6881.0,2425.0,196.0
gridss,100,4,9,1411.0,6876.0,2388.0,207.0
gridss,100,8,1,1971.0,10742.0,1828.0,280.0
gridss,100,8,10,1955.0,10804.0,1844.0,289.0
gridss,100,8,2,1964.0,10701.0,1835.0,291.0
gridss,100,8,3,1969.0,10666.0,1830.0,292.0
gridss,100,8,4,1975.0,10803.0,1824.0,293.0
gridss,100,8,5,1987.0,10785.0,1812.0,306.0
gridss,100,8,6,1937.0,10663.0,1862.0,267.0
gridss,100,8,7,1961.0,10747.0,1838.0,296.0
gridss,100,8,8,1996.0,10683.0,1803.0,302.0
gridss,100,8,9,1983.0,10706.0,1816.0,283.0
popdel,100,0.1,1,0.0,1.0,3799.0,0.0
popdel,100,0.1,10,0.0,0.0,3799.0,0.0
popdel,100,0.1,2,0.0,0.0,3799.0,0.0
popdel,100,0.1,3,0.0,0.0,3799.0,0.0
popdel,100,0.1,4,1.0,0.0,3798.0,0.0
popdel,100,0.1,5,0.0,1.0,3799.0,0.0
popdel,100,0.1,6,0.0,0.0,3799.0,0.0
popdel,100,0.1,7,0.0,0.0,3799.0,0.0
popdel,100,0.1,8,1.0,0.0,3798.0,0.0
popdel,100,0.1,9,0.0,0.0,3799.0,0.0
popdel,100,0.5,1,18.0,5.0,3781.0,0.0
popdel,100,0.5,10,24.0,4.0,3775.0,0.0
popdel,100,0.5,2,12.0,4.0,3787.0,0.0
popdel,100,0.5,3,18.0,3.0,3781.0,0.0
popdel,100,0.5,4,20.0,3.0,3779.0,0.0
popdel,100,0.5,5,13.0,4.0,3786.0,0.0
popdel,100,0.5,6,11.0,6.0,3788.0,0.0
popdel,100,0.5,7,13.0,2.0,3786.0,0.0
popdel,100,0.5,8,29.0,1.0,3770.0,2.0
popdel,100,0.5,9,12.0,3.0,3787.0,0.0
popdel,100,1,1,88.0,24.0,3711.0,3.0
popdel,100,1,10,93.0,24.0,3706.0,6.0
popdel,100,1,2,84.0,21.0,3715.0,1.0
popdel,100,1,3,74.0,24.0,3725.0,0.0
popdel,100,1,4,109.0,29.0,3690.0,5.0
popdel,100,1,5,84.0,18.0,3715.0,2.0
popdel,100,1,6,71.0,17.0,3728.0,2.0
popdel,100,1,7,75.0,21.0,3724.0,0.0
popdel,100,1,8,76.0,33.0,3723.0,3.0
popdel,100,1,9,91.0,24.0,3708.0,3.0
popdel,100,16,1,1181.0,337.0,2618.0,444.0
popdel,100,16,10,1180.0,336.0,2619.0,463.0
popdel,100,16,2,1186.0,346.0,2613.0,449.0
popdel,100,16,3,1200.0,322.0,2599.0,458.0
popdel,100,16,4,1200.0,329.0,2599.0,448.0
popdel,100,16,5,1167.0,354.0,2632.0,436.0
popdel,100,16,6,1200.0,320.0,2599.0,460.0
popdel,100,16,7,1201.0,340.0,2598.0,472.0
popdel,100,16,8,1192.0,321.0,2607.0,456.0
popdel,100,16,9,1192.0,327.0,2607.0,451.0
popdel,100,2,1,315.0,98.0,3484.0,35.0
popdel,100,2,10,299.0,113.0,3500.0,35.0
popdel,100,2,2,315.0,98.0,3484.0,27.0
popdel,100,2,3,264.0,106.0,3535.0,28.0
popdel,100,2,4,301.0,124.0,3498.0,30.0
popdel,100,2,5,306.0,110.0,3493.0,39.0
popdel,100,2,6,319.0,101.0,3480.0,25.0
popdel,100,2,7,293.0,125.0,3506.0,28.0
popdel,100,2,8,297.0,97.0,3502.0,35.0
popdel,100,2,9,308.0,99.0,3491.0,33.0
popdel,100,32,1,1259.0,341.0,2540.0,509.0
popdel,100,32,10,1251.0,351.0,2548.0,500.0
popdel,100,32,2,1256.0,331.0,2543.0,503.0
popdel,100,32,3,1254.0,342.0,2545.0,506.0
popdel,100,32,4,1248.0,347.0,2551.0,509.0
popdel,100,32,5,1267.0,341.0,2532.0,521.0
popdel,100,32,6,1241.0,354.0,2558.0,498.0
popdel,100,32,7,1255.0,338.0,2544.0,504.0
popdel,100,32,8,1247.0,342.0,2552.0,493.0
popdel,100,32,9,1251.0,354.0,2548.0,516.0
popdel,100,4,1,652.0,243.0,3147.0,156.0
popdel,100,4,10,663.0,222.0,3136.0,161.0
popdel,100,4,2,653.0,229.0,3146.0,146.0
popdel,100,4,3,704.0,231.0,3095.0,173.0
popdel,100,4,4,648.0,219.0,3151.0,155.0
popdel,100,4,5,654.0,226.0,3145.0,154.0
popdel,100,4,6,676.0,207.0,3123.0,170.0
popdel,100,4,7,642.0,237.0,3157.0,155.0
popdel,100,4,8,641.0,243.0,3158.0,138.0
popdel,100,4,9,666.0,250.0,3133.0,156.0
popdel,100,8,1,1015.0,304.0,2784.0,351.0
popdel,100,8,10,1055.0,307.0,2744.0,372.0
popdel,100,8,2,1009.0,328.0,2790.0,347.0
popdel,100,8,3,1014.0,326.0,2785.0,326.0
popdel,100,8,4,1022.0,298.0,2777.0,348.0
popdel,100,8,5,1010.0,303.0,2789.0,329.0
popdel,100,8,6,1012.0,315.0,2787.0,338.0
popdel,100,8,7,1015.0,317.0,2784.0,344.0
popdel,100,8,8,1003.0,329.0,2796.0,349.0
popdel,100,8,9,1031.0,322.0,2768.0,343.0
smoove,100,0.1,1,0.0,0.0,3799.0,0.0
smoove,100,0.1,10,0.0,0.0,3799.0,0.0
smoove,100,0.1,2,0.0,0.0,3799.0,0.0
smoove,100,0.1,3,0.0,0.0,3799.0,0.0
smoove,100,0.1,4,0.0,1.0,3799.0,0.0
smoove,100,0.1,5,1.0,0.0,3798.0,0.0
smoove,100,0.1,6,0.0,0.0,3799.0,0.0
smoove,100,0.1,7,0.0,0.0,3799.0,0.0
smoove,100,0.1,8,0.0,0.0,3799.0,0.0
smoove,100,0.1,9,0.0,0.0,3799.0,0.0
smoove,100,0.5,1,2.0,0.0,3797.0,0.0
smoove,100,0.5,10,2.0,1.0,3797.0,0.0
smoove,100,0.5,2,4.0,0.0,3795.0,0.0
smoove,100,0.5,3,4.0,0.0,3795.0,0.0
smoove,100,0.5,4,4.0,0.0,3795.0,0.0
smoove,100,0.5,5,1.0,0.0,3798.0,0.0
smoove,100,0.5,6,4.0,0.0,3795.0,0.0
smoove,100,0.5,7,5.0,0.0,3794.0,0.0
smoove,100,0.5,8,7.0,0.0,3792.0,0.0
smoove,100,0.5,9,6.0,0.0,3793.0,0.0
smoove,100,1,1,55.0,3.0,3744.0,1.0
smoove,100,1,10,47.0,1.0,3752.0,0.0
smoove,100,1,2,46.0,1.0,3753.0,0.0
smoove,100,1,3,54.0,1.0,3745.0,0.0
smoove,100,1,4,58.0,4.0,3741.0,1.0
smoove,100,1,5,48.0,2.0,3751.0,0.0
smoove,100,1,6,40.0,2.0,3759.0,1.0
smoove,100,1,7,43.0,2.0,3756.0,0.0
smoove,100,1,8,56.0,1.0,3743.0,1.0
smoove,100,1,9,58.0,1.0,3741.0,2.0
smoove,100,16,1,1960.0,497.0,1839.0,1025.0
smoove,100,16,10,1937.0,492.0,1862.0,1002.0
smoove,100,16,2,1955.0,480.0,1844.0,1025.0
smoove,100,16,3,1952.0,493.0,1847.0,1026.0
smoove,100,16,4,1976.0,504.0,1823.0,1042.0
smoove,100,16,5,1927.0,507.0,1872.0,1006.0
smoove,100,16,6,1970.0,491.0,1829.0,1043.0
smoove,100,16,7,1960.0,497.0,1839.0,1034.0
smoove,100,16,8,1960.0,491.0,1839.0,1034.0
smoove,100,16,9,1954.0,476.0,1845.0,1020.0
smoove,100,2,1,290.0,14.0,3509.0,33.0
smoove,100,2,10,281.0,10.0,3518.0,33.0
smoove,100,2,2,289.0,24.0,3510.0,22.0
smoove,100,2,3,264.0,25.0,3535.0,28.0
smoove,100,2,4,303.0,21.0,3496.0,19.0
smoove,100,2,5,272.0,19.0,3527.0,22.0
smoove,100,2,6,290.0,13.0,3509.0,22.0
smoove,100,2,7,283.0,13.0,3516.0,25.0
smoove,100,2,8,271.0,21.0,3528.0,25.0
smoove,100,2,9,264.0,21.0,3535.0,18.0
smoove,100,32,1,2162.0,742.0,1637.0,1229.0
smoove,100,32,10,2170.0,758.0,1629.0,1232.0
smoove,100,32,2,2163.0,745.0,1636.0,1215.0
smoove,100,32,3,2175.0,757.0,1624.0,1229.0
smoove,100,32,4,2164.0,748.0,1635.0,1220.0
smoove,100,32,5,2159.0,769.0,1640.0,1224.0
smoove,100,32,6,2164.0,739.0,1635.0,1223.0
smoove,100,32,7,2162.0,759.0,1637.0,1234.0
smoove,100,32,8,2163.0,749.0,1636.0,1226.0
smoove,100,32,9,2168.0,758.0,1631.0,1237.0
smoove,100,4,1,810.0,76.0,2989.0,194.0
smoove,100,4,10,796.0,61.0,3003.0,193.0
smoove,100,4,2,810.0,81.0,2989.0,198.0
smoove,100,4,3,838.0,71.0,2961.0,194.0
smoove,100,4,4,800.0,76.0,2999.0,192.0
smoove,100,4,5,824.0,69.0,2975.0,201.0
smoove,100,4,6,801.0,62.0,2998.0,195.0
smoove,100,4,7,818.0,74.0,2981.0,184.0
smoove,100,4,8,817.0,68.0,2982.0,203.0
smoove,100,4,9,817.0,78.0,2982.0,204.0
smoove,100,8,1,1472.0,223.0,2327.0,603.0
smoove,100,8,10,1483.0,245.0,2316.0,621.0
smoove,100,8,2,1462.0,242.0,2337.0,587.0
smoove,100,8,3,1450.0,226.0,2349.0,580.0
smoove,100,8,4,1477.0,249.0,2322.0,594.0
smoove,100,8,5,1492.0,228.0,2307.0,593.0
smoove,100,8,6,1494.0,225.0,2305.0,593.0
smoove,100,8,7,1476.0,235.0,2323.0,604.0
smoove,100,8,8,1479.0,226.0,2320.0,606.0
smoove,100,8,9,1475.0,230.0,2324.0,614.0
sniffles,100,0.1,1,0.0,0.0,3799.0,0.0
sniffles,100,0.1,10,0.0,0.0,3799.0,0.0
sniffles,100,0.1,2,0.0,0.0,3799.0,0.0
sniffles,100,0.1,3,0.0,0.0,3799.0,0.0
sniffles,100,0.1,4,0.0,0.0,3799.0,0.0
sniffles,100,0.1,5,0.0,0.0,3799.0,0.0
sniffles,100,0.1,6,0.0,0.0,3799.0,0.0
sniffles,100,0.1,7,0.0,0.0,3799.0,0.0
sniffles,100,0.1,8,0.0,0.0,3799.0,0.0
sniffles,100,0.1,9,0.0,0.0,3799.0,0.0
sniffles,100,0.5,1,0.0,0.0,3799.0,0.0
sniffles,100,0.5,10,0.0,0.0,3799.0,0.0
sniffles,100,0.5,2,0.0,0.0,3799.0,0.0
sniffles,100,0.5,3,0.0,0.0,3799.0,0.0
sniffles,100,0.5,4,0.0,0.0,3799.0,0.0
sniffles,100,0.5,5,0.0,0.0,3799.0,0.0
sniffles,100,0.5,6,0.0,0.0,3799.0,0.0
sniffles,100,0.5,7,0.0,0.0,3799.0,0.0
sniffles,100,0.5,8,0.0,0.0,3799.0,0.0
sniffles,100,0.5,9,0.0,0.0,3799.0,0.0
sniffles,100,1,1,0.0,0.0,3799.0,0.0
sniffles,100,1,10,0.0,0.0,3799.0,0.0
sniffles,100,1,2,0.0,0.0,3799.0,0.0
sniffles,100,1,3,0.0,0.0,3799.0,0.0
sniffles,100,1,4,0.0,0.0,3799.0,0.0
sniffles,100,1,5,0.0,0.0,3799.0,0.0
sniffles,100,1,6,0.0,0.0,3799.0,0.0
sniffles,100,1,7,0.0,0.0,3799.0,0.0
sniffles,100,1,8,0.0,0.0,3799.0,0.0
sniffles,100,1,9,0.0,0.0,3799.0,0.0
sniffles,100,16,1,21.0,46.0,3778.0,1.0
sniffles,100,16,10,20.0,46.0,3779.0,1.0
sniffles,100,16,2,29.0,45.0,3770.0,0.0
sniffles,100,16,3,17.0,41.0,3782.0,0.0
sniffles,100,16,4,18.0,30.0,3781.0,0.0
sniffles,100,16,5,19.0,40.0,3780.0,0.0
sniffles,100,16,6,16.0,43.0,3783.0,0.0
sniffles,100,16,7,21.0,47.0,3778.0,0.0
sniffles,100,16,8,18.0,34.0,3781.0,0.0
sniffles,100,16,9,25.0,35.0,3774.0,0.0
sniffles,100,2,1,0.0,0.0,3799.0,0.0
sniffles,100,2,10,0.0,0.0,3799.0,0.0
sniffles,100,2,2,0.0,0.0,3799.0,0.0
sniffles,100,2,3,0.0,0.0,3799.0,0.0
sniffles,100,2,4,0.0,0.0,3799.0,0.0
sniffles,100,2,5,0.0,0.0,3799.0,0.0
sniffles,100,2,6,0.0,0.0,3799.0,0.0
sniffles,100,2,7,0.0,0.0,3799.0,0.0
sniffles,100,2,8,0.0,0.0,3799.0,0.0
sniffles,100,2,9,0.0,0.0,3799.0,0.0
sniffles,100,32,1,356.0,219.0,3443.0,38.0
sniffles,100,32,10,356.0,217.0,3443.0,42.0
sniffles,100,32,2,358.0,208.0,3441.0,35.0
sniffles,100,32,3,348.0,218.0,3451.0,35.0
sniffles,100,32,4,345.0,219.0,3454.0,36.0
sniffles,100,32,5,344.0,224.0,3455.0,41.0
sniffles,100,32,6,356.0,202.0,3443.0,39.0
sniffles,100,32,7,361.0,213.0,3438.0,40.0
sniffles,100,32,8,363.0,213.0,3436.0,44.0
sniffles,100,32,9,351.0,228.0,3448.0,41.0
sniffles,100,4,1,0.0,0.0,3799.0,0.0
sniffles,100,4,10,0.0,0.0,3799.0,0.0
sniffles,100,4,2,0.0,0.0,3799.0,0.0
sniffles,100,4,3,0.0,0.0,3799.0,0.0
sniffles,100,4,4,0.0,0.0,3799.0,0.0
sniffles,100,4,5,0.0,1.0,3799.0,0.0
sniffles,100,4,6,0.0,0.0,3799.0,0.0
sniffles,100,4,7,0.0,0.0,3799.0,0.0
sniffles,100,4,8,0.0,0.0,3799.0,0.0
sniffles,100,4,9,0.0,0.0,3799.0,0.0
sniffles,100,8,1,0.0,5.0,3799.0,0.0
sniffles,100,8,10,1.0,2.0,3798.0,0.0
sniffles,100,8,2,0.0,7.0,3799.0,0.0
sniffles,100,8,3,0.0,2.0,3799.0,0.0
sniffles,100,8,4,0.0,3.0,3799.0,0.0
sniffles,100,8,5,0.0,2.0,3799.0,0.0
sniffles,100,8,6,2.0,4.0,3797.0,0.0
sniffles,100,8,7,0.0,1.0,3799.0,0.0
sniffles,100,8,8,1.0,3.0,3798.0,0.0
sniffles,100,8,9,0.0,3.0,3799.0,0.0
